edad,sexo,idioma,indigena,depto,zona,no_inscribio_motivo,desercion_real,desercion_predicha,probabilidad
13.0,2.0,6.0,2.0,8.0,1.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,2.0,2.0,-1.0,0,0,0.0
7.0,1.0,6.0,2.0,6.0,1.0,-1.0,0,0,0.0
13.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
8.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
13.0,2.0,27.0,1.0,3.0,2.0,-1.0,0,0,0.0
7.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
12.0,1.0,6.0,1.0,4.0,2.0,-1.0,0,0,0.0
6.0,2.0,6.0,2.0,3.0,2.0,-1.0,0,0,0.0
11.0,1.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
8.0,2.0,6.0,2.0,6.0,2.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
8.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
10.0,2.0,6.0,2.0,7.0,2.0,-1.0,0,0,0.0
16.0,1.0,41.0,2.0,7.0,2.0,6.0,1,1,0.9867
7.0,1.0,6.0,1.0,2.0,2.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
16.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
7.0,1.0,6.0,2.0,1.0,1.0,-1.0,0,0,0.0
10.0,1.0,6.0,2.0,6.0,1.0,-1.0,0,0,0.0
17.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
18.0,1.0,6.0,2.0,2.0,1.0,1.0,1,1,0.9967
10.0,2.0,6.0,2.0,5.0,2.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
16.0,2.0,6.0,2.0,4.0,2.0,-1.0,0,0,0.0
8.0,1.0,6.0,2.0,2.0,2.0,-1.0,0,0,0.0
12.0,1.0,6.0,2.0,1.0,1.0,-1.0,0,0,0.0
17.0,1.0,6.0,2.0,6.0,1.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,6.0,1.0,-1.0,0,0,0.0
7.0,2.0,6.0,1.0,4.0,2.0,-1.0,0,0,0.0
8.0,1.0,6.0,2.0,1.0,1.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
6.0,2.0,41.0,2.0,7.0,2.0,-1.0,0,0,0.0033
14.0,2.0,6.0,1.0,7.0,1.0,-1.0,0,0,0.0
17.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
11.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
10.0,1.0,6.0,1.0,4.0,2.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,4.0,2.0,-1.0,0,0,0.0
16.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,2.0,2.0,-1.0,0,0,0.0
18.0,2.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
10.0,2.0,6.0,2.0,1.0,2.0,-1.0,0,0,0.0
15.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
12.0,1.0,6.0,1.0,2.0,1.0,-1.0,0,0,0.0
15.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,6.0,2.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,5.0,1.0,-1.0,0,0,0.0
6.0,2.0,6.0,2.0,7.0,2.0,5.0,1,1,0.93
18.0,1.0,6.0,2.0,8.0,1.0,-1.0,0,0,0.0
8.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
8.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
10.0,2.0,6.0,2.0,1.0,1.0,-1.0,0,0,0.0
8.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,2.0,2.0,-1.0,0,0,0.0
16.0,1.0,2.0,1.0,2.0,2.0,-1.0,0,0,0.0
17.0,2.0,6.0,2.0,8.0,1.0,-1.0,0,0,0.0
14.0,1.0,6.0,2.0,1.0,2.0,-1.0,0,0,0.0
17.0,2.0,6.0,1.0,3.0,1.0,-1.0,0,0,0.0
17.0,2.0,6.0,2.0,8.0,2.0,-1.0,0,0,0.0
18.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
17.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
7.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
10.0,2.0,6.0,1.0,5.0,2.0,-1.0,0,0,0.0
18.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
15.0,1.0,6.0,2.0,1.0,1.0,-1.0,0,0,0.0
16.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
6.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
10.0,1.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
15.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,4.0,2.0,-1.0,0,0,0.0
10.0,2.0,6.0,2.0,2.0,2.0,-1.0,0,0,0.0
7.0,2.0,6.0,1.0,2.0,1.0,-1.0,0,0,0.0
10.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
15.0,2.0,27.0,2.0,3.0,2.0,-1.0,0,0,0.0
6.0,1.0,6.0,2.0,1.0,2.0,-1.0,0,0,0.0
17.0,1.0,6.0,1.0,2.0,2.0,-1.0,0,0,0.0
13.0,2.0,6.0,2.0,9.0,1.0,-1.0,0,0,0.0
11.0,2.0,6.0,2.0,5.0,2.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
9.0,1.0,41.0,2.0,7.0,2.0,-1.0,0,0,0.0
13.0,2.0,6.0,1.0,2.0,2.0,-1.0,0,0,0.0
18.0,1.0,11.0,1.0,9.0,2.0,2.0,1,1,0.8633
9.0,2.0,6.0,1.0,9.0,2.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
17.0,1.0,6.0,2.0,8.0,1.0,-1.0,0,0,0.0
6.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
13.0,2.0,6.0,2.0,6.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,1.0,7.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
15.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
10.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
16.0,2.0,27.0,1.0,3.0,2.0,-1.0,0,0,0.0033
9.0,1.0,6.0,2.0,1.0,2.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,8.0,1.0,-1.0,0,0,0.0
17.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
15.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
6.0,1.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
16.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
10.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
7.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
10.0,2.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
16.0,2.0,6.0,1.0,2.0,1.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,9.0,1.0,-1.0,0,0,0.0
17.0,2.0,6.0,2.0,1.0,2.0,-1.0,0,0,0.0
12.0,2.0,6.0,2.0,6.0,2.0,-1.0,0,0,0.0
6.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
12.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
18.0,2.0,6.0,2.0,7.0,1.0,6.0,1,1,1.0
11.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
18.0,1.0,6.0,2.0,8.0,1.0,6.0,1,1,1.0
17.0,2.0,6.0,2.0,2.0,1.0,5.0,1,1,0.98
14.0,1.0,6.0,2.0,9.0,2.0,-1.0,0,0,0.0
12.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
6.0,1.0,6.0,2.0,1.0,2.0,-1.0,0,0,0.0
17.0,2.0,6.0,2.0,6.0,1.0,-1.0,0,0,0.0
12.0,2.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
11.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
8.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
15.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
17.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
7.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
10.0,1.0,6.0,1.0,2.0,1.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
14.0,1.0,6.0,2.0,9.0,2.0,-1.0,0,0,0.0
17.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
8.0,1.0,6.0,1.0,4.0,2.0,-1.0,0,0,0.0
16.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
8.0,2.0,6.0,2.0,5.0,2.0,-1.0,0,0,0.0
8.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
6.0,2.0,6.0,2.0,7.0,2.0,-1.0,0,0,0.0
10.0,1.0,6.0,2.0,1.0,1.0,-1.0,0,0,0.0
11.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
7.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
15.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
15.0,1.0,6.0,2.0,8.0,1.0,-1.0,0,0,0.0
18.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,1.0,1.0,-1.0,0,0,0.0
12.0,1.0,6.0,2.0,4.0,2.0,-1.0,0,0,0.0
11.0,2.0,6.0,1.0,2.0,1.0,-1.0,0,0,0.0
11.0,1.0,6.0,2.0,8.0,1.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,9.0,1.0,-1.0,0,0,0.0
11.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
6.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
13.0,1.0,2.0,2.0,4.0,2.0,-1.0,0,0,0.0
6.0,1.0,6.0,2.0,9.0,2.0,-1.0,0,0,0.0
8.0,1.0,6.0,1.0,7.0,2.0,-1.0,0,0,0.0
11.0,2.0,2.0,1.0,2.0,2.0,-1.0,0,0,0.0
15.0,2.0,6.0,2.0,9.0,2.0,-1.0,0,0,0.0
18.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
16.0,1.0,6.0,1.0,5.0,1.0,-1.0,0,0,0.0
10.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
15.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
7.0,1.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
12.0,2.0,6.0,1.0,7.0,2.0,-1.0,0,0,0.0
15.0,2.0,6.0,2.0,9.0,2.0,-1.0,0,0,0.0
17.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
13.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
10.0,1.0,6.0,2.0,1.0,2.0,-1.0,0,0,0.0
14.0,1.0,6.0,2.0,3.0,1.0,6.0,1,1,0.95
11.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
8.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
10.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
17.0,1.0,6.0,2.0,1.0,2.0,-1.0,0,0,0.0
16.0,2.0,6.0,1.0,2.0,2.0,6.0,1,1,0.92
15.0,2.0,6.0,2.0,6.0,1.0,-1.0,0,0,0.0
14.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
7.0,1.0,6.0,2.0,9.0,1.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,8.0,1.0,-1.0,0,0,0.0
7.0,2.0,6.0,2.0,5.0,1.0,-1.0,0,0,0.0
10.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
6.0,1.0,6.0,2.0,5.0,2.0,-1.0,0,0,0.0
17.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
7.0,2.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
7.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
11.0,2.0,6.0,2.0,6.0,2.0,-1.0,0,0,0.0
7.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,7.0,2.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
15.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
7.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
12.0,2.0,6.0,2.0,7.0,2.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,6.0,1.0,-1.0,0,0,0.0
11.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
11.0,2.0,6.0,2.0,1.0,1.0,-1.0,0,0,0.0
16.0,1.0,6.0,1.0,2.0,2.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,9.0,1.0,-1.0,0,0,0.0
16.0,2.0,6.0,2.0,6.0,2.0,-1.0,0,0,0.0
6.0,2.0,6.0,2.0,8.0,1.0,-1.0,0,0,0.0
18.0,2.0,6.0,2.0,9.0,1.0,-1.0,0,0,0.0
14.0,1.0,6.0,2.0,9.0,1.0,-1.0,0,0,0.0
18.0,1.0,27.0,2.0,3.0,2.0,-1.0,0,0,0.0033
9.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
11.0,2.0,6.0,2.0,6.0,2.0,-1.0,0,0,0.0
18.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
17.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,5.0,1.0,-1.0,0,0,0.0
10.0,2.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
12.0,1.0,6.0,1.0,1.0,2.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
6.0,1.0,6.0,2.0,1.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
12.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
7.0,1.0,6.0,2.0,7.0,2.0,-1.0,0,0,0.0
8.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,8.0,1.0,-1.0,0,0,0.0
18.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
14.0,1.0,6.0,2.0,9.0,1.0,-1.0,0,0,0.0
18.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
16.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,4.0,2.0,-1.0,0,0,0.0
15.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
18.0,2.0,27.0,1.0,5.0,2.0,-1.0,0,0,0.0067
17.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
13.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
12.0,2.0,6.0,1.0,4.0,1.0,-1.0,0,0,0.0
16.0,1.0,6.0,2.0,1.0,2.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
7.0,2.0,6.0,1.0,2.0,1.0,-1.0,0,0,0.0
12.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
10.0,1.0,6.0,2.0,2.0,2.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,8.0,1.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
7.0,1.0,6.0,2.0,7.0,2.0,-1.0,0,0,0.0
9.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
10.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,7.0,2.0,-1.0,0,0,0.0
13.0,2.0,6.0,2.0,9.0,2.0,-1.0,0,0,0.0
12.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
16.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
14.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
12.0,1.0,6.0,2.0,7.0,2.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,9.0,1.0,-1.0,0,0,0.0
9.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,2.0,2.0,-1.0,0,0,0.0
18.0,1.0,27.0,2.0,3.0,2.0,-1.0,0,0,0.0033
14.0,2.0,6.0,2.0,6.0,2.0,-1.0,0,0,0.0
6.0,2.0,6.0,2.0,8.0,2.0,-1.0,0,0,0.0
11.0,2.0,6.0,2.0,4.0,2.0,-1.0,0,0,0.0
12.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
8.0,2.0,6.0,2.0,8.0,2.0,-1.0,0,0,0.0
17.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
15.0,2.0,6.0,2.0,8.0,2.0,-1.0,0,0,0.0
8.0,1.0,6.0,2.0,9.0,2.0,-1.0,0,0,0.0
8.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
6.0,1.0,6.0,1.0,7.0,2.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
6.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
17.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
8.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
14.0,2.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
16.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
10.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
9.0,2.0,6.0,1.0,2.0,1.0,-1.0,0,0,0.0
11.0,1.0,6.0,2.0,9.0,2.0,-1.0,0,0,0.0
18.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
10.0,1.0,6.0,2.0,9.0,1.0,-1.0,0,0,0.0
16.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
11.0,1.0,6.0,2.0,7.0,1.0,-1.0,0,0,0.0
13.0,2.0,6.0,2.0,5.0,2.0,-1.0,0,0,0.0
8.0,1.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
13.0,2.0,6.0,2.0,1.0,1.0,-1.0,0,0,0.0
10.0,1.0,6.0,1.0,5.0,2.0,-1.0,0,0,0.0
7.0,1.0,6.0,2.0,4.0,1.0,-1.0,0,0,0.0
10.0,1.0,6.0,2.0,8.0,2.0,-1.0,0,0,0.0
17.0,1.0,6.0,2.0,1.0,1.0,-1.0,0,0,0.0
12.0,2.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
6.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
14.0,1.0,6.0,2.0,3.0,2.0,-1.0,0,0,0.0
8.0,1.0,6.0,1.0,5.0,2.0,-1.0,0,0,0.0
16.0,1.0,6.0,2.0,6.0,1.0,-1.0,0,0,0.0
7.0,1.0,6.0,2.0,8.0,1.0,-1.0,0,0,0.0
16.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
10.0,1.0,6.0,2.0,6.0,2.0,-1.0,0,0,0.0
16.0,2.0,6.0,2.0,2.0,1.0,-1.0,0,0,0.0
13.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
17.0,1.0,6.0,2.0,3.0,1.0,-1.0,0,0,0.0
