edad,sexo,idioma,indigena,depto,zona,asiste,no_inscribio_motivo,desercion,cluster
14.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
10.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
15.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
7.0,2.0,27.0,2.0,1.0,1.0,1.0,,0,1.0
13.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
9.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
8.0,2.0,27.0,2.0,1.0,1.0,1.0,,0,1.0
17.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
13.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,1.0,6.0,1.0,1.0,1.0,1.0,,0,2.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,2.0,27.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
6.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
17.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
9.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
7.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
7.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
17.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
9.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
17.0,2.0,27.0,2.0,1.0,1.0,1.0,,0,1.0
14.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
17.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
9.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
7.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
13.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
13.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
18.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
13.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
18.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
12.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
7.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
9.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
14.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
6.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,2.0,27.0,2.0,1.0,1.0,1.0,,0,1.0
9.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
7.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,2.0,27.0,2.0,1.0,1.0,1.0,,0,1.0
14.0,1.0,27.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,1.0,27.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
7.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
15.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
13.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
12.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
9.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
15.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
17.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
7.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
13.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,2.0,6.0,1.0,1.0,1.0,1.0,,0,2.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
13.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
14.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
7.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
17.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
17.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
9.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,1.0,6.0,1.0,1.0,1.0,1.0,,0,2.0
8.0,2.0,6.0,1.0,1.0,1.0,1.0,,0,2.0
10.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
17.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
14.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
9.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
17.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
17.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
9.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
14.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
17.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
7.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
17.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
13.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
7.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
7.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
13.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
10.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
12.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
17.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
8.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
7.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,1.0,27.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
9.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
18.0,2.0,27.0,2.0,1.0,1.0,1.0,,0,1.0
8.0,1.0,27.0,2.0,1.0,1.0,1.0,,0,0.0
17.0,2.0,6.0,1.0,1.0,1.0,2.0,8.0,1,2.0
15.0,2.0,6.0,1.0,1.0,1.0,1.0,,0,2.0
13.0,2.0,6.0,1.0,1.0,1.0,1.0,,0,2.0
11.0,1.0,27.0,1.0,1.0,1.0,1.0,,0,2.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,2.0,27.0,2.0,1.0,1.0,1.0,,0,1.0
13.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
10.0,2.0,27.0,2.0,1.0,1.0,1.0,,0,1.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
7.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
17.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
9.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
7.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
13.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,2.0,6.0,1.0,1.0,1.0,1.0,,0,2.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
9.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
13.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
9.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
9.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
13.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
13.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
13.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
9.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
15.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
14.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
6.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
10.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,2.0,6.0,2.0,1.0,1.0,2.0,6.0,1,1.0
10.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
12.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
7.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,1.0,6.0,1.0,1.0,1.0,1.0,,0,2.0
12.0,1.0,6.0,1.0,1.0,1.0,1.0,,0,2.0
17.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
15.0,2.0,6.0,1.0,1.0,1.0,1.0,,0,2.0
12.0,1.0,6.0,1.0,1.0,1.0,1.0,,0,2.0
14.0,2.0,6.0,1.0,1.0,1.0,1.0,,0,2.0
7.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
17.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
9.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
6.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
6.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
12.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
6.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
11.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
13.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
17.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
13.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
8.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
12.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
16.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
15.0,2.0,6.0,2.0,1.0,1.0,1.0,,0,1.0
18.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
7.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
14.0,1.0,6.0,2.0,1.0,1.0,1.0,,0,0.0
6.0,1.0,6.0,2.0,1.0,2.0,1.0,,0,0.0
9.0,2.0,6.0,2.0,1.0,2.0,1.0,,0,1.0
7.0,1.0,6.0,2.0,1.0,2.0,1.0,,0,0.0
15.0,2.0,6.0,2.0,1.0,2.0,2.0,6.0,1,1.0
13.0,1.0,6.0,2.0,1.0,2.0,2.0,6.0,1,0.0
13.0,1.0,6.0,2.0,1.0,2.0,2.0,4.0,1,0.0
11.0,1.0,6.0,2.0,1.0,2.0,1.0,,0,0.0
6.0,2.0,6.0,2.0,1.0,2.0,1.0,,0,1.0
12.0,1.0,6.0,2.0,1.0,2.0,1.0,,0,0.0
7.0,2.0,6.0,2.0,1.0,2.0,1.0,,0,1.0
12.0,2.0,6.0,2.0,1.0,2.0,1.0,,0,1.0
6.0,1.0,6.0,2.0,1.0,2.0,1.0,,0,0.0
16.0,1.0,27.0,2.0,1.0,2.0,1.0,,0,0.0
15.0,1.0,27.0,2.0,1.0,2.0,2.0,5.0,1,0.0
10.0,2.0,27.0,2.0,1.0,2.0,1.0,,0,1.0
9.0,1.0,27.0,2.0,1.0,2.0,1.0,,0,0.0
6.0,2.0,27.0,2.0,1.0,2.0,1.0,,0,1.0
18.0,1.0,27.0,2.0,1.0,2.0,2.0,6.0,1,0.0
18.0,1.0,27.0,2.0,1.0,2.0,1.0,,0,0.0
16.0,1.0,6.0,1.0,1.0,2.0,1.0,,0,2.0
14.0,1.0,6.0,1.0,1.0,2.0,1.0,,0,2.0
17.0,2.0,6.0,1.0,1.0,2.0,1.0,,0,2.0
15.0,2.0,6.0,1.0,1.0,2.0,1.0,,0,2.0
13.0,2.0,27.0,1.0,1.0,2.0,1.0,,0,2.0
